"","time","nc","oligo"
"1",5e-04,-0.6356,"tri"
"2",0.008833,-0.28285,"tri"
"3",0.017167,0.0515,"tri"
"4",0.0255,0.1449,"tri"
"5",0.033833,0.22795,"tri"
"6",0.042167,0.25945,"tri"
"7",0.0505,0.26575,"tri"
"8",0.058833,0.1698,"tri"
"9",0.067167,0.1531,"tri"
"10",0.0755,0.27055,"tri"
"11",0.083833,0.35795,"tri"
"12",0.092167,0.40275,"tri"
"13",0.1005,0.34955,"tri"
"14",0.108833,0.32845,"tri"
"15",0.117167,0.3093,"tri"
"16",0.1255,0.28915,"tri"
"17",0.133833,0.1783,"tri"
"18",0.142167,0.13075,"tri"
"19",0.1505,0.19995,"tri"
"20",0.158833,0.31835,"tri"
"21",0.167167,0.35675,"tri"
"22",0.1755,0.36375,"tri"
"23",0.183833,0.31025,"tri"
"24",0.192167,0.2927,"tri"
"25",0.2005,0.27525,"tri"
"26",0.208833,0.20115,"tri"
"27",0.217167,0.1306,"tri"
"28",0.2255,0.1469,"tri"
"29",0.233833,0.3019,"tri"
"30",0.242167,0.33915,"tri"
"31",0.2505,0.39115,"tri"
"32",0.258833,0.3165,"tri"
"33",0.267167,0.2989,"tri"
"34",0.2755,0.2848,"tri"
"35",0.283833,0.2449,"tri"
"36",0.292167,0.14425,"tri"
"37",0.3005,0.12695,"tri"
"38",0.308833,0.27365,"tri"
"39",0.317167,0.3362,"tri"
"40",0.3255,0.3941,"tri"
"41",0.333833,0.3297,"tri"
"42",0.342167,0.31325,"tri"
"43",0.3505,0.3021,"tri"
"44",0.358833,0.28675,"tri"
"45",0.367167,0.1756,"tri"
"46",0.3755,0.14275,"tri"
"47",0.383833,0.23005,"tri"
"48",0.392167,0.3429,"tri"
"49",0.4005,0.3865,"tri"
"50",0.408833,0.36365,"tri"
"51",0.417167,0.34445,"tri"
"52",0.4255,0.32475,"tri"
"53",0.433833,0.3066,"tri"
"54",0.442167,0.2137,"tri"
"55",0.4505,0.16345,"tri"
"56",0.458833,0.20805,"tri"
"57",0.467167,0.34985,"tri"
"58",0.4755,0.38915,"tri"
"59",0.483833,0.42625,"tri"
"60",0.492167,0.35995,"tri"
"61",0.5005,0.34465,"tri"
"62",0.508833,0.32865,"tri"
"63",0.517167,0.2802,"tri"
"64",0.5255,0.18795,"tri"
"65",0.533833,0.18825,"tri"
"66",0.542167,0.34325,"tri"
"67",0.5505,0.3955,"tri"
"68",0.558833,0.4568,"tri"
"69",0.567167,0.38395,"tri"
"70",0.5755,0.3707,"tri"
"71",0.583833,0.35845,"tri"
"72",0.592167,0.33095,"tri"
"73",0.6005,0.2206,"tri"
"74",0.608833,0.19915,"tri"
"75",0.617167,0.31315,"tri"
"76",0.6255,0.40795,"tri"
"77",0.633833,0.4572,"tri"
"78",0.642167,0.4121,"tri"
"79",0.6505,0.3969,"tri"
"80",0.658833,0.38205,"tri"
"81",0.667167,0.37275,"tri"
"82",0.6755,0.2559,"tri"
"83",0.683833,0.2207,"tri"
"84",0.692167,0.28705,"tri"
"85",0.7005,0.41225,"tri"
"86",0.708833,0.4589,"tri"
"87",0.717167,0.46575,"tri"
"88",0.7255,0.41485,"tri"
"89",0.733833,0.39995,"tri"
"90",0.742167,0.39035,"tri"
"91",0.7505,0.3147,"tri"
"92",0.758833,0.243,"tri"
"93",0.767167,0.2627,"tri"
"94",0.7755,0.42,"tri"
"95",0.783833,0.45925,"tri"
"96",0.792167,0.51155,"tri"
"97",0.8005,0.4401,"tri"
"98",0.808833,0.42485,"tri"
"99",0.817167,0.4124,"tri"
"100",0.8255,0.378,"tri"
"101",0.833833,0.27375,"tri"
"102",0.842167,0.25705,"tri"
"103",0.8505,0.39835,"tri"
"104",0.858833,0.4692,"tri"
"105",0.867167,0.5226,"tri"
"106",0.8755,0.4638,"tri"
"107",0.883833,0.4433,"tri"
"108",0.892167,0.43475,"tri"
"109",0.9005,0.421,"tri"
"110",0.908833,0.3068,"tri"
"111",0.917167,0.2749,"tri"
"112",0.9255,0.36235,"tri"
"113",0.933833,0.47375,"tri"
"114",0.942167,0.5245,"tri"
"115",0.9505,0.4996,"tri"
"116",0.958833,0.46875,"tri"
"117",0.967167,0.4545,"tri"
"118",0.9755,0.44315,"tri"
"119",0.983833,0.3514,"tri"
"120",0.992167,0.29575,"tri"
"121",1.0005,0.33615,"tri"
"122",1.008833,0.4843,"tri"
"123",1.017167,0.52265,"tri"
"124",1.0255,0.56165,"tri"
"125",1.033833,0.4994,"tri"
"126",1.042167,0.4775,"tri"
"127",1.0505,0.46915,"tri"
"128",1.058833,0.4134,"tri"
"129",1.067167,0.3217,"tri"
"130",1.0755,0.3192,"tri"
"131",1.083833,0.47685,"tri"
"132",1.092167,0.52825,"tri"
"133",1.1005,0.58465,"tri"
"134",1.108833,0.51135,"tri"
"135",1.117167,0.5025,"tri"
"136",1.1255,0.48715,"tri"
"137",1.133833,0.47095,"tri"
"138",1.142167,0.35465,"tri"
"139",1.1505,0.323,"tri"
"140",1.158833,0.4396,"tri"
"141",1.167167,0.5396,"tri"
"142",1.1755,0.58175,"tri"
"143",1.183833,0.5385,"tri"
"144",1.192167,0.52695,"tri"
"145",1.2005,0.5056,"tri"
"146",1.208833,0.49185,"tri"
